"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","175.31","175.62","175.73","175.22","-","-0.11%"
"Nov 27, 2020","175.50","175.59","175.65","175.41","360.72K","-0.01%"
"Nov 26, 2020","175.51","175.18","175.59","175.16","333.13K","0.10%"
"Nov 25, 2020","175.33","175.10","175.46","174.96","507.15K","0.04%"
"Nov 24, 2020","175.26","175.37","175.47","175.12","520.86K","-0.09%"
"Nov 23, 2020","175.41","175.70","175.71","175.26","552.78K","-0.07%"
"Nov 20, 2020","175.53","175.45","175.73","175.25","512.29K","0.11%"
"Nov 19, 2020","175.33","175.20","175.41","175.10","521.65K","0.12%"
"Nov 18, 2020","175.12","175.28","175.46","174.91","526.04K","-0.03%"
"Nov 17, 2020","175.18","174.94","175.27","174.85","526.43K","0.14%"
"Nov 16, 2020","174.93","174.94","175.29","174.45","675.21K","-0.01%"
"Nov 13, 2020","174.94","174.91","175.17","174.78","512.60K","0.11%"
"Nov 12, 2020","174.74","174.42","174.97","174.26","665.82K","0.25%"
"Nov 11, 2020","174.30","174.01","174.50","173.66","653.88K","0.16%"
"Nov 10, 2020","174.02","174.54","174.63","173.92","994.34K","-0.19%"
"Nov 09, 2020","174.36","176.09","176.46","174.26","1.19M","-0.95%"
"Nov 06, 2020","176.03","176.42","176.49","175.86","591.31K","-0.17%"
"Nov 05, 2020","176.33","176.52","176.65","176.09","616.56K","-0.04%"
"Nov 04, 2020","176.40","175.71","176.83","175.53","787.73K","0.22%"
"Nov 03, 2020","176.02","176.29","176.37","175.82","584.73K","-0.12%"
"Nov 02, 2020","176.24","176.25","176.36","175.90","530.00K","0.05%"
"Oct 30, 2020","176.15","176.18","176.38","175.90","683.41K","-0.09%"
"Oct 29, 2020","176.31","176.03","176.44","175.92","698.75K","0.14%"
"Oct 28, 2020","176.07","176.08","176.43","175.95","793.21K","0.07%"
"Oct 27, 2020","175.94","175.45","176.01","175.27","590.38K","0.37%"
"Oct 26, 2020","175.30","175.50","175.73","175.10","573.12K","0.02%"
"Oct 23, 2020","175.26","175.20","175.52","175.00","551.14K","0.04%"
"Oct 22, 2020","175.19","175.54","175.73","175.17","613.67K","-0.30%"
"Oct 21, 2020","175.71","175.67","175.86","175.34","647.92K","-0.06%"
"Oct 20, 2020","175.81","176.10","176.24","175.66","585.02K","-0.17%"
"Oct 19, 2020","176.11","176.01","176.17","175.77","486.45K","0.02%"
"Oct 16, 2020","176.07","175.82","176.29","175.77","478.75K","0.10%"
"Oct 15, 2020","175.90","175.37","176.28","175.35","836.38K","0.31%"
"Oct 14, 2020","175.35","175.07","175.50","175.04","546.06K","0.17%"
"Oct 13, 2020","175.06","174.88","175.13","174.76","492.61K","0.14%"
"Oct 12, 2020","174.81","174.74","174.87","174.60","307.19K","0.07%"
"Oct 09, 2020","174.68","174.52","174.86","174.49","492.24K","0.11%"
"Oct 08, 2020","174.48","174.10","174.58","174.04","455.63K","0.20%"
"Oct 07, 2020","174.13","174.58","174.61","173.93","705.09K","-0.08%"
"Oct 06, 2020","174.27","174.18","174.65","174.15","664.92K","-0.09%"
"Oct 05, 2020","174.42","174.67","174.90","174.19","529.43K","-0.14%"
"Oct 02, 2020","174.66","174.61","174.97","174.60","526.39K","0.00%"
"Oct 01, 2020","174.66","174.50","174.71","174.17","715.32K","0.08%"
"Sep 30, 2020","174.52","174.81","174.95","174.34","714.17K","-0.20%"
"Sep 29, 2020","174.87","174.63","174.90","174.58","498.12K","0.14%"
"Sep 28, 2020","174.62","174.58","174.68","174.31","427.30K","-0.03%"
"Sep 25, 2020","174.67","174.27","174.70","174.16","472.17K","0.13%"
"Sep 24, 2020","174.44","174.43","174.72","174.22","557.16K","0.13%"
"Sep 23, 2020","174.21","174.38","174.64","174.19","574.54K","-0.09%"
"Sep 22, 2020","174.37","174.56","174.74","174.25","588.25K","-0.16%"
"Sep 21, 2020","174.65","174.08","174.85","173.95","608.20K","0.33%"
"Sep 18, 2020","174.07","174.07","174.43","173.93","438.52K","-0.11%"
"Sep 17, 2020","174.26","174.05","174.45","173.74","647.27K","0.20%"
"Sep 16, 2020","173.92","174.12","174.29","173.84","455.12K","-0.05%"
"Sep 15, 2020","174.00","174.05","174.15","173.78","472.41K","0.00%"
