"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","126.02","125.99","126.05","125.94","-","0.03%"
"Nov 29, 2020","125.98","125.99","125.99","125.98","-","0.25%"
"Nov 27, 2020","125.67","125.55","125.67","125.55","-","0.05%"
"Nov 26, 2020","125.61","125.57","125.62","125.56","-","0.03%"
"Nov 25, 2020","125.57","125.54","125.64","125.51","1.30M","0.01%"
"Nov 24, 2020","125.55","125.58","125.59","125.52","2.10M","0.00%"
"Nov 23, 2020","125.55","125.62","125.63","125.52","2.50M","-0.05%"
"Nov 22, 2020","125.62","125.61","125.62","125.61","-","0.01%"
"Nov 20, 2020","125.60","125.60","125.64","125.55","956.45K","0.04%"
"Nov 19, 2020","125.55","125.50","125.61","125.50","901.98K","0.05%"
"Nov 18, 2020","125.49","125.56","125.60","125.45","836.70K","-0.04%"
"Nov 17, 2020","125.55","125.45","125.57","125.42","640.69K","0.07%"
"Nov 16, 2020","125.45","125.47","125.54","125.39","681.30K","-0.02%"
"Nov 13, 2020","125.48","125.52","125.55","125.45","620.68K","-0.02%"
"Nov 12, 2020","125.50","125.27","125.53","125.27","982.96K","0.20%"
"Nov 11, 2020","125.25","125.24","125.29","125.15","218.72K","0.03%"
"Nov 10, 2020","125.21","125.37","125.40","125.20","976.27K","-0.05%"
"Nov 09, 2020","125.27","125.63","125.75","125.19","1.46M","-0.30%"
"Nov 06, 2020","125.66","125.84","125.85","125.59","758.80K","-0.11%"
"Nov 05, 2020","125.79","125.84","125.92","125.73","761.30K","-0.06%"
"Nov 04, 2020","125.86","125.47","125.88","125.38","1.35M","0.26%"
"Nov 03, 2020","125.54","125.62","125.62","125.45","670.43K","-0.05%"
"Nov 02, 2020","125.60","125.59","125.70","125.58","733.23K","0.00%"
"Oct 30, 2020","125.60","125.66","125.72","125.57","1.06M","-0.04%"
"Oct 29, 2020","125.65","125.77","125.81","125.62","935.37K","-0.09%"
"Oct 28, 2020","125.77","125.77","125.85","125.75","869.02K","0.01%"
"Oct 27, 2020","125.76","125.66","125.77","125.65","474.89K","0.06%"
"Oct 26, 2020","125.68","125.56","125.72","125.56","474.30K","0.08%"
"Oct 23, 2020","125.58","125.55","125.64","125.52","589.58K","0.01%"
"Oct 22, 2020","125.57","125.65","125.70","125.52","701.74K","-0.08%"
"Oct 21, 2020","125.67","125.73","125.74","125.59","680.16K","-0.04%"
"Oct 20, 2020","125.72","125.73","125.77","125.68","553.29K","-0.03%"
"Oct 19, 2020","125.76","125.80","125.81","125.70","576.12K","-0.05%"
"Oct 16, 2020","125.82","125.84","125.90","125.78","476.68K","-0.02%"
"Oct 15, 2020","125.84","125.88","125.97","125.82","489.28K","-0.04%"
"Oct 14, 2020","125.89","125.87","125.93","125.84","464.94K","0.00%"
"Oct 13, 2020","125.89","125.74","125.90","125.73","536.60K","0.13%"
"Oct 12, 2020","125.73","125.70","125.75","125.70","98.88K","0.01%"
"Oct 09, 2020","125.71","125.70","125.78","125.66","563.90K","-0.04%"
"Oct 08, 2020","125.77","125.67","125.77","125.66","521.11K","0.08%"
"Oct 07, 2020","125.66","125.82","125.83","125.63","631.26K","-0.10%"
"Oct 06, 2020","125.79","125.70","125.85","125.70","825.12K","0.02%"
"Oct 05, 2020","125.76","125.94","125.99","125.70","642.79K","-0.16%"
"Oct 02, 2020","125.95","126.02","126.11","125.92","643.71K","-0.06%"
"Oct 01, 2020","126.02","125.98","126.06","125.88","678.45K","0.08%"
"Sep 30, 2020","125.92","125.96","126.01","125.92","0.62K","-0.07%"
"Sep 29, 2020","126.01","125.98","126.06","125.98","7.28K","0.05%"
"Sep 28, 2020","125.95","125.95","125.96","125.95","2.19K","-0.01%"
"Sep 25, 2020","125.95","125.99","126.02","125.97","6.60K","0.04%"
"Sep 24, 2020","125.91","125.91","125.91","125.91","0.01K","0.01%"
"Sep 23, 2020","125.89","125.94","125.96","125.88","0.80K","-0.04%"
"Sep 22, 2020","125.95","125.94","125.95","125.89","5.95K","0.04%"
"Sep 21, 2020","125.89","125.94","125.96","125.91","1.39K","0.02%"
"Sep 18, 2020","125.87","125.91","125.91","125.84","0.17K","-0.02%"
"Sep 17, 2020","125.89","125.96","125.96","125.96","4.55K","0.01%"
"Sep 16, 2020","125.88","125.89","125.94","125.87","4.38K","-0.01%"
"Sep 15, 2020","125.89","125.92","125.94","125.88","1.58K","-0.02%"
"Sep 14, 2020","125.92","125.96","125.98","125.94","2.74K","-0.03%"
"Sep 11, 2020","125.96","125.87","125.97","125.87","2.14K","0.05%"
"Sep 10, 2020","125.90","125.84","125.91","125.81","1.75K","0.04%"
"Sep 09, 2020","125.84","125.90","125.90","125.80","3.01K","-0.01%"
"Sep 08, 2020","125.86","125.75","125.88","125.75","7.24K","-0.02%"
"Sep 07, 2020","125.88","125.86","125.93","125.84","-","0.02%"
"Sep 06, 2020","125.86","125.84","125.87","125.84","-","0.12%"
"Sep 04, 2020","125.71","125.97","125.98","125.70","19.37K","-0.25%"
"Sep 03, 2020","126.02","125.96","126.05","125.89","12.57K","0.07%"
"Sep 02, 2020","125.94","125.95","125.96","125.88","9.16K","-0.01%"
"Sep 01, 2020","125.95","125.90","125.95","125.83","35.37K","0.02%"
"Aug 31, 2020","125.91","125.88","125.93","125.80","103.68K","0.04%"
"Aug 28, 2020","125.86","125.63","125.90","125.56","659.56K","0.15%"
"Aug 27, 2020","125.67","125.75","125.90","125.63","1.58M","-0.06%"
"Aug 26, 2020","125.75","125.73","125.77","125.62","2.49M","0.00%"
"Aug 25, 2020","125.75","125.78","125.79","125.62","2.43M","-0.03%"
"Aug 24, 2020","125.79","125.85","125.90","125.77","1.26M","-0.04%"
"Aug 21, 2020","125.84","125.84","125.96","125.82","750.16K","-0.02%"
"Aug 20, 2020","125.88","125.79","125.94","125.79","627.97K","0.03%"
"Aug 19, 2020","125.84","125.84","125.89","125.77","654.93K","0.01%"
"Aug 18, 2020","125.82","125.77","125.87","125.75","484.74K","0.02%"
"Aug 17, 2020","125.79","125.74","125.84","125.73","551.94K","0.04%"
"Aug 14, 2020","125.73","125.59","125.77","125.59","536.85K","0.09%"
"Aug 13, 2020","125.62","125.68","125.80","125.59","607.68K","-0.09%"
"Aug 12, 2020","125.73","125.80","125.85","125.65","703.23K","0.00%"
"Aug 11, 2020","125.73","126.00","126.03","125.72","780.09K","-0.23%"
"Aug 10, 2020","126.02","126.02","126.14","125.99","359.61K","-0.01%"
"Aug 07, 2020","126.03","126.12","126.17","126.01","420.31K","-0.07%"
"Aug 06, 2020","126.13","126.05","126.23","126.05","416.81K","0.02%"
"Aug 05, 2020","126.09","126.24","126.24","126.06","504.66K","-0.09%"
"Aug 04, 2020","126.21","126.12","126.24","126.08","439.42K","0.11%"
"Aug 03, 2020","126.08","126.17","126.17","126.05","474.35K","-0.04%"
"Jul 31, 2020","126.13","126.03","126.16","125.99","731.99K","0.06%"
"Jul 30, 2020","126.05","125.95","126.07","125.93","453.76K","0.08%"
"Jul 29, 2020","125.95","125.85","125.98","125.82","467.13K","0.06%"
"Jul 28, 2020","125.88","125.73","125.89","125.70","437.05K","0.11%"
"Jul 27, 2020","125.74","125.79","125.88","125.73","448.47K","-0.05%"
"Jul 24, 2020","125.80","125.80","125.87","125.77","390.58K","-0.01%"
"Jul 23, 2020","125.82","125.79","125.85","125.77","358.13K","0.01%"
"Jul 22, 2020","125.81","125.84","125.87","125.77","385.67K","-0.01%"
"Jul 21, 2020","125.82","125.79","125.85","125.71","383.27K","0.06%"
"Jul 20, 2020","125.74","125.76","125.84","125.73","341.03K","-0.02%"
"Jul 17, 2020","125.77","125.80","125.84","125.73","303.50K","-0.03%"
"Jul 16, 2020","125.80","125.73","125.84","125.72","320.47K","0.04%"
"Jul 15, 2020","125.76","125.68","125.80","125.65","356.58K","-0.01%"
"Jul 14, 2020","125.77","125.73","125.83","125.70","427.88K","0.06%"
"Jul 13, 2020","125.70","125.67","125.75","125.62","364.92K","0.00%"
"Jul 10, 2020","125.70","125.76","125.89","125.65","503.27K","-0.09%"
"Jul 09, 2020","125.81","125.68","125.84","125.67","452.61K","0.07%"
"Jul 08, 2020","125.73","125.73","125.74","125.63","438.39K","0.02%"
"Jul 07, 2020","125.70","125.66","125.76","125.63","418.12K","0.04%"
"Jul 06, 2020","125.64","125.74","125.74","125.55","405.62K","-0.09%"
"Jul 03, 2020","125.75","125.74","125.76","125.72","-","0.04%"
"Jul 02, 2020","125.70","125.60","125.75","125.52","438.46K","0.08%"
"Jul 01, 2020","125.60","125.74","125.75","125.57","641.67K","-0.30%"
"Jun 30, 2020","125.98","126.03","126.03","126.01","2.09K","-0.01%"
"Jun 29, 2020","125.99","125.93","126.13","125.93","0.49K","0.07%"
"Jun 26, 2020","125.90","125.78","125.94","125.78","17.84K","0.11%"
"Jun 25, 2020","125.77","125.75","125.75","125.75","3.31K","0.01%"
"Jun 24, 2020","125.76","125.77","125.77","125.76","15.71K","0.03%"
"Jun 23, 2020","125.72","125.70","125.71","125.70","5.93K","0.04%"
"Jun 22, 2020","125.66","125.66","125.66","125.66","1.25K","-0.03%"
"Jun 19, 2020","125.70","125.73","125.73","125.73","2.13K","0.01%"
"Jun 18, 2020","125.69","125.70","125.71","125.63","4.96K","0.04%"
"Jun 17, 2020","125.64","125.61","125.66","125.61","1.31K","0.02%"
"Jun 16, 2020","125.61","125.64","125.64","125.58","3.76K","-0.07%"
"Jun 15, 2020","125.70","125.75","125.80","125.65","0.99K","-0.01%"
"Jun 12, 2020","125.70","125.65","125.75","125.64","1.35K","-0.07%"
"Jun 11, 2020","125.80","125.80","125.84","125.70","7.04K","0.07%"
"Jun 10, 2020","125.70","125.36","125.77","125.35","8.43K","0.27%"
"Jun 09, 2020","125.36","125.21","125.43","125.20","8.00K","0.17%"
"Jun 08, 2020","125.14","125.05","125.25","125.01","20.99K","0.09%"
"Jun 05, 2020","125.03","125.36","125.41","124.85","15.52K","-0.26%"
"Jun 04, 2020","125.35","125.47","125.54","125.28","25.88K","-0.07%"
"Jun 03, 2020","125.45","125.73","125.73","125.40","40.75K","-0.22%"
"Jun 02, 2020","125.72","125.80","125.82","125.69","20.71K","-0.08%"
"Jun 01, 2020","125.82","125.84","125.90","125.72","29.48K","0.00%"
"May 29, 2020","125.82","125.64","125.84","125.64","133.71K","0.17%"
"May 28, 2020","125.60","125.61","125.69","125.55","697.58K","-0.02%"
"May 27, 2020","125.63","125.59","125.74","125.42","1.90M","0.05%"
"May 26, 2020","125.56","125.65","125.66","125.46","2.68M","-0.06%"
"May 25, 2020","125.64","125.61","125.66","125.61","-","0.02%"
"May 24, 2020","125.61","125.63","125.65","125.61","-","-0.02%"
"May 22, 2020","125.64","125.61","125.76","125.60","1.12M","0.02%"
"May 21, 2020","125.61","125.59","125.68","125.56","1.19M","-0.02%"
"May 20, 2020","125.64","125.63","125.70","125.49","994.55K","0.07%"
"May 19, 2020","125.55","125.41","125.63","125.39","893.97K","0.13%"
"May 18, 2020","125.38","125.80","125.80","125.37","812.13K","-0.27%"
"May 15, 2020","125.73","125.73","125.85","125.68","629.78K","-0.02%"
"May 14, 2020","125.76","125.67","125.81","125.65","703.63K","0.06%"
"May 13, 2020","125.68","125.65","125.75","125.59","800.97K","0.09%"
