"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","138.16","138.18","138.24","138.05","-","0.00%"
"Nov 29, 2020","138.16","138.18","138.18","138.15","-","-0.28%"
"Nov 27, 2020","138.55","138.25","138.55","138.23","-","0.07%"
"Nov 26, 2020","138.45","138.27","138.46","138.27","-","0.13%"
"Nov 25, 2020","138.27","138.25","138.47","138.13","1.84M","0.01%"
"Nov 24, 2020","138.25","138.33","138.38","138.17","3.33M","-0.05%"
"Nov 23, 2020","138.31","138.53","138.55","138.27","2.57M","-0.14%"
"Nov 22, 2020","138.51","138.52","138.54","138.51","-","0.01%"
"Nov 20, 2020","138.50","138.52","138.63","138.38","1.54M","0.10%"
"Nov 19, 2020","138.36","138.22","138.52","138.22","1.52M","0.12%"
"Nov 18, 2020","138.19","138.36","138.52","138.08","1.49M","-0.08%"
"Nov 17, 2020","138.30","138.03","138.36","137.95","1.33M","0.19%"
"Nov 16, 2020","138.03","138.08","138.25","137.84","1.25M","-0.06%"
"Nov 13, 2020","138.11","138.20","138.33","138.05","993.90K","-0.03%"
"Nov 12, 2020","138.16","137.63","138.23","137.61","1.74M","0.40%"
"Nov 11, 2020","137.61","137.50","137.67","137.25","553.67K","0.13%"
"Nov 10, 2020","137.44","137.81","137.92","137.42","2.07M","-0.10%"
"Nov 09, 2020","137.58","138.50","138.77","137.41","2.78M","-0.70%"
"Nov 06, 2020","138.55","138.97","139.03","138.39","1.49M","-0.24%"
"Nov 05, 2020","138.88","138.97","139.27","138.77","1.66M","-0.08%"
"Nov 04, 2020","138.98","137.95","139.03","137.64","2.88M","0.64%"
"Nov 03, 2020","138.09","138.31","138.34","137.95","1.27M","-0.15%"
"Nov 02, 2020","138.30","138.17","138.48","138.14","1.44M","0.06%"
"Oct 30, 2020","138.22","138.47","138.61","138.11","2.40M","-0.14%"
"Oct 29, 2020","138.41","138.81","138.89","138.36","1.97M","-0.28%"
"Oct 28, 2020","138.80","138.89","139.09","138.77","1.53M","-0.03%"
"Oct 27, 2020","138.84","138.63","138.91","138.58","968.53K","0.15%"
"Oct 26, 2020","138.64","138.34","138.72","138.34","1.17M","0.20%"
"Oct 23, 2020","138.36","138.27","138.47","138.17","1.19M","0.02%"
"Oct 22, 2020","138.33","138.50","138.63","138.16","1.39M","-0.18%"
"Oct 21, 2020","138.58","138.75","138.77","138.41","1.52M","-0.09%"
"Oct 20, 2020","138.70","138.83","138.89","138.66","1.25M","-0.16%"
"Oct 19, 2020","138.92","139.03","139.05","138.75","1.04M","-0.10%"
"Oct 16, 2020","139.06","139.09","139.23","138.97","928.43K","-0.04%"
"Oct 15, 2020","139.13","139.20","139.44","139.06","1.15M","-0.07%"
"Oct 14, 2020","139.22","139.20","139.33","139.14","801.76K","0.01%"
"Oct 13, 2020","139.20","138.91","139.25","138.89","1.04M","0.21%"
"Oct 12, 2020","138.91","138.83","138.94","138.80","195.31K","0.06%"
"Oct 09, 2020","138.83","138.80","138.98","138.67","1.00M","-0.07%"
"Oct 08, 2020","138.92","138.70","138.94","138.70","991.73K","0.15%"
"Oct 07, 2020","138.72","139.13","139.14","138.64","1.35M","-0.24%"
"Oct 06, 2020","139.05","138.77","139.19","138.72","1.62M","0.09%"
"Oct 05, 2020","138.92","139.38","139.45","138.75","1.34M","-0.37%"
"Oct 02, 2020","139.44","139.52","139.78","139.36","1.44M","-0.08%"
"Oct 01, 2020","139.55","139.47","139.64","139.20","1.53M","0.01%"
"Sep 30, 2020","139.53","139.73","139.80","139.34","1.73M","-0.18%"
"Sep 29, 2020","139.78","139.70","139.81","139.63","788.13K","0.11%"
"Sep 28, 2020","139.63","139.64","139.69","139.52","719.44K","-0.01%"
"Sep 25, 2020","139.64","139.55","139.72","139.47","774.19K","0.04%"
"Sep 24, 2020","139.58","139.52","139.61","139.47","1.04M","0.06%"
"Sep 23, 2020","139.50","139.55","139.67","139.39","980.78K","-0.09%"
"Sep 22, 2020","139.63","139.58","139.63","139.48","816.61K","-0.10%"
"Sep 21, 2020","139.77","139.61","139.88","139.61","1.59K","0.11%"
"Sep 18, 2020","139.61","139.70","139.70","139.56","3.52K","-0.02%"
"Sep 17, 2020","139.64","139.56","139.91","139.56","1.12K","0.00%"
"Sep 16, 2020","139.64","139.73","139.95","139.55","4.96K","-0.02%"
"Sep 15, 2020","139.67","139.73","139.73","139.63","3.63K","-0.04%"
"Sep 14, 2020","139.73","139.77","139.84","139.67","5.41K","-0.02%"
"Sep 11, 2020","139.77","139.61","139.77","139.53","2.04K","0.12%"
"Sep 10, 2020","139.59","139.47","139.63","139.34","2.38K","0.09%"
"Sep 09, 2020","139.47","139.69","139.72","139.42","3.63K","-0.07%"
"Sep 08, 2020","139.56","139.28","139.64","139.25","7.41K","0.34%"
"Sep 07, 2020","139.09","139.10","139.20","139.02","-","-0.01%"
"Sep 06, 2020","139.10","139.06","139.13","139.06","-","-0.07%"
"Sep 04, 2020","139.20","139.84","139.86","139.19","7.55K","-0.51%"
"Sep 03, 2020","139.92","139.72","140.02","139.58","31.48K","0.16%"
"Sep 02, 2020","139.70","139.59","139.77","139.45","29.46K","0.09%"
"Sep 01, 2020","139.58","139.34","139.59","139.20","66.55K","0.12%"
"Aug 31, 2020","139.41","139.30","139.45","139.09","87.14K","0.11%"
"Aug 28, 2020","139.25","138.91","139.36","138.72","899.50K","0.20%"
"Aug 27, 2020","138.97","139.33","139.63","138.89","2.41M","-0.25%"
"Aug 26, 2020","139.31","139.27","139.34","139.02","2.94M","0.00%"
"Aug 25, 2020","139.31","139.47","139.48","139.02","3.00M","-0.15%"
"Aug 24, 2020","139.52","139.61","139.72","139.44","1.53M","-0.03%"
"Aug 21, 2020","139.56","139.50","139.73","139.42","994.19K","0.00%"
